,0
101,https://www.15min.lt/naujiena/aktualu/svietimas/valstybes-kontrole-atliekant-universitetu-tinklo-optimizavima-reikia-taisyti-ukine-ju-situacija-233-822854
102,https://www.15min.lt/naujiena/aktualu/svietimas/jto-dirbanti-ktu-absolvente-visada-ejau-paskui-naujas-galimybes-233-822842
103,https://www.15min.lt/naujiena/aktualu/svietimas/vyriausybe-pritaria-kad-i-studiju-kaina-nebutu-iskaiciuotos-lesos-universitetu-islaikymui-233-822274
104,https://www.15min.lt/naujiena/aktualu/svietimas/lietuvoje-viesejusia-oksfordo-universiteto-aukletine-suzavejo-ism-universiteto-studentai-233-821940
105,https://www.15min.lt/naujiena/aktualu/svietimas/vilniuje-nauja-pradine-australijos-lietuvos-mokykla-233-821580
106,https://www.15min.lt/naujiena/aktualu/svietimas/emigracijoje-uzdirbtus-pinigus-jaunieji-ukininkai-investuoja-i-savo-verslus-233-821462
107,https://www.15min.lt/naujiena/aktualu/svietimas/suzinokite-apie-studiju-galimybes-prestiziniame-derbio-universitete-233-821242
108,https://www.15min.lt/naujiena/aktualu/svietimas/vdu-uzsienio-kalbu-institutas-siulo-rinktis-net-is-30-uzsienio-kalbu-233-820886
109,https://www.15min.lt/naujiena/aktualu/svietimas/metai-po-studiju-baigimo-kas-uzdirba-daugiausiai-ir-kas-maziausiai-233-820862
110,https://www.15min.lt/verslas/naujiena/finansai/pernai-bendrojo-ugdymo-ir-profesinems-mokykloms-teko-daugiau-universitetams-ir-kolegijoms-maziau-valstybes-lesu-662-820030
111,https://www.15min.lt/verslas/naujiena/pranesimai/siauliu-ir-klaipedos-universitetai-islieka-galimybe-likti-autonomiskais-231-819910
112,https://www.15min.lt/naujiena/aktualu/svietimas/pedagogo-kvalifikacija-bus-galima-igyti-ne-tik-per-studijas-bet-ir-per-praktika-233-818810
113,https://www.15min.lt/naujiena/aktualu/svietimas/aukstuju-mokyklu-reforma-finiso-tiesiojoje-o-kas-po-to-233-818698
114,https://www.15min.lt/naujiena/aktualu/nuomones/arturas-zukauskas-universitetu-reforma-kodas-5p-raktui-i-sekme-18-818708
115,https://www.15min.lt/naujiena/aktualu/svietimas/studentu-sajunga-tenkina-mokslo-reformos-planas-neapibreziantis-konkreciu-universitetu-jungimosi-233-818688
116,https://www.15min.lt/naujiena/aktualu/svietimas/revoliucija-izraelyje-sukelusios-pechar-organizacijos-vadovas-ismokeme-studentus-ne-tik-gauti-bet-ir-duoti-233-815830
117,https://www.15min.lt/naujiena/aktualu/pasaulis/turkijoje-is-vadoveliu-planuojama-salinti-informacija-apie-evoliucijos-teorija-57-817028
118,https://www.15min.lt/naujiena/aktualu/svietimas/salies-darbo-rinka-sustiprins-vieni-paklausiausiu-specialistu-233-816782
119,https://www.15min.lt/naujiena/aktualu/svietimas/mosta-vadovas-per-desimtmeti-universitetai-neteks-puses-studentu-233-816126
120,https://www.15min.lt/naujiena/aktualu/svietimas/ministre-nemokamos-bakalauro-studijos-turetu-buti-garantuojamos-gerai-pasirengusiesiems-233-816050
121,https://www.15min.lt/naujiena/aktualu/nuomones/antanas-guoga-kada-profesines-mokyklos-nokautuos-universitetus-18-815580
122,https://www.15min.lt/naujiena/aktualu/nuomones/mindaugas-kiskis-aukstojo-mokslo-reforma-is-virsaus-ar-is-apacios-18-815552
123,https://www.15min.lt/naujiena/aktualu/lietuva/premjeras-apie-siulyma-atstatydinti-e-jovaisa-opozicija-dirba-savo-darba-56-815120
124,https://www.15min.lt/naujiena/aktualu/komentarai/alisa-miniotaite-mokiniams-siulo-tapti-aristokratais-idomu-500-813996
125,https://www.15min.lt/naujiena/aktualu/svietimas/studijos-ka-rinktis-atsizvelgiant-i-ateities-darbo-rinka-233-813840
126,https://www.15min.lt/naujiena/aktualu/vilniaus-zinios/sostines-mokyklose-prasidejo-pakartotinis-vaiku-priemimas-793-813376
127,https://www.15min.lt/naujiena/aktualu/lietuva/unicef-lietuva-tarp-maziausiai-vaikais-besirupinanciu-pasiturinciu-pasaulio-saliu-56-812668
128,https://www.15min.lt/naujiena/aktualu/nuomones/arturas-razbadauskas-sveiko-proto-saulelydis-klaipedos-regiona-paliks-klaidzioti-tamsoje-18-812366
129,https://www.15min.lt/naujiena/aktualu/svietimas/chemija-233-811972
130,https://www.15min.lt/naujiena/aktualu/svietimas/klestinciame-turizmo-sektoriuje-specialistai-tapo-aukso-vertes-233-811642
131,https://www.15min.lt/naujiena/aktualu/svietimas/kodel-svarbu-ugdyti-mokiniu-emocini-intelekta-ir-kaip-tai-daryti-233-811344
132,https://www.15min.lt/naujiena/aktualu/svietimas/ktu-siulo-trumpinti-bakalauro-studijas-iki-treju-metu-233-811182
133,https://www.15min.lt/naujiena/aktualu/svietimas/premjeras-nuo-rugsejo-zada-uztikrinti-neformaliojo-ugdymo-finansavima-233-810966
134,https://www.15min.lt/naujiena/aktualu/nuomones/antanas-guoga-ir-vel-geda-del-valdzios-pries-europa-18-810826
135,https://www.15min.lt/naujiena/aktualu/svietimas/a-vaisnys-apie-svietimo-reforma-universiteto-zmogus-jiems-yra-niekas-233-810766
136,https://www.15min.lt/naujiena/aktualu/svietimas/g-landsbergis-premjeras-kaip-trimetis-neigia-realybe-del-aukstojo-mokslo-pertvarkos-233-809788
137,https://www.15min.lt/naujiena/aktualu/lietuva/ministre-svietimo-reforma-ne-tik-viena-is-reikalingiausiu-bet-ir-viena-is-sudetingiausiu-56-809362
138,https://www.15min.lt/video/istorijos-pamoka-apie-partizanus-kodel-neilindus-i-bunkeri-114556
